source,stream,material,amount (kg/MW),amount (kg/MWh),coordinate mining site,location mining,reference mining,mining assumptions,coordinate manufacturing,location processing,reference processing,
wind,front_need,neodymium,216,0.004931507,"(41.79583,109.96944)",Bayan Obo Mine,"@misc{ns energy, title={Bayan Obo Rare Earth Mine}, url={https://www.nsenergybusiness.com/projects/bayan-obo-rare-earth-mine/#:~:text=The%20Bayan%20Obo%20mine%20in,world's%20biggest%20rare%20earth%20mine.&text=the%20mine%20site-,China%20is%20the%20biggest%20producer%20of%20the%20rare%20earth%20elements,world's%20biggest%20rare%20earth%20mine.}, journal={NS Energy}}",,,,,
wind,front_waste,neodymium_mining_w,4104,0.09369863,"(41.79583,109.96944)",Bayan Obo Mine,"@misc{ns energy, title={Bayan Obo Rare Earth Mine}, url={https://www.nsenergybusiness.com/projects/bayan-obo-rare-earth-mine/#:~:text=The%20Bayan%20Obo%20mine%20in,world's%20biggest%20rare%20earth%20mine.&text=the%20mine%20site-,China%20is%20the%20biggest%20producer%20of%20the%20rare%20earth%20elements,world's%20biggest%20rare%20earth%20mine.}, journal={NS Energy}}",,,,,
gas,oper_waste,NH3,4690.98,0.021,"(32.6017,-87.7811)",,,,,,,
wind,back_waste,nickel,663.4,0.015146119,"(46.4711,-119.3339)",,,,,,,
nuclear,back_waste,nickel,484.34,0.001023888,"(41.1706,-73.1844)",,,,,,,
wind,front_need,nickel,663.4,0.015146119,"(69.42863380764027,30.778766263282996)",Severny Mine       ,"@misc{carmen_2022, title={World's ten largest nickel mines in 2021}, url={https://www.mining-technology.com/marketdata/ten-largest-nickels-mines-2021/}, journal={Mining Technology}, publisher={Verdict}, author={Carmen}, year={2022}, month={Jun}} 

@book{potanin_malyshev, journal={2021 ANNUAL REPORT MMC NORILSK NICKEL / NAVIGATING THE TRANSITION TO A NET ZERO WORLD}, author={Potanin, Vladimir and Malyshev, Sergey}, pages={1–208}} ","There was contradicting information, so I used the same website (mining-technology) that I've used before. I struggled finding information on a ""Kola MMC Mine"". I found the company website which lists their ore output, and the Zhdanovskoye deposit had the highest output. Thus, there are two references.
I struggled with finding the coordinates. The company website included a visual map of the mine, which I compared to a Google Map location search.",,,,
nuclear,front_need,nickel,484.34,0.001023888,"(69.42863380764027,30.778766263282996)",Severny Mine       ,"@misc{carmen_2022, title={World's ten largest nickel mines in 2021}, url={https://www.mining-technology.com/marketdata/ten-largest-nickels-mines-2021/}, journal={Mining Technology}, publisher={Verdict}, author={Carmen}, year={2022}, month={Jun}} 

@book{potanin_malyshev, journal={2021 ANNUAL REPORT MMC NORILSK NICKEL / NAVIGATING THE TRANSITION TO A NET ZERO WORLD}, author={Potanin, Vladimir and Malyshev, Sergey}, pages={1–208}} ","There was contradicting information, so I used the same website (mining-technology) that I've used before. I struggled finding information on a ""Kola MMC Mine"". I found the company website which lists their ore output, and the Zhdanovskoye deposit had the highest output. Thus, there are two references.
I struggled with finding the coordinates. The company website included a visual map of the mine, which I compared to a Google Map location search.",,,,
coal,oper_waste,nickel,10.66968,0.000058,"(32.7214,-114.7106)",,,,,,,
wind,front_waste,nickel_mining_w,6707.711111,0.153144089,"(69.42863380764027,30.778766263282996)",Severny Mine       ,"@misc{carmen_2022, title={World's ten largest nickel mines in 2021}, url={https://www.mining-technology.com/marketdata/ten-largest-nickels-mines-2021/}, journal={Mining Technology}, publisher={Verdict}, author={Carmen}, year={2022}, month={Jun}} 

@book{potanin_malyshev, journal={2021 ANNUAL REPORT MMC NORILSK NICKEL / NAVIGATING THE TRANSITION TO A NET ZERO WORLD}, author={Potanin, Vladimir and Malyshev, Sergey}, pages={1–208}} ","There was contradicting information, so I used the same website (mining-technology) that I've used before. I struggled finding information on a ""Kola MMC Mine"". I found the company website which lists their ore output, and the Zhdanovskoye deposit had the highest output. Thus, there are two references.
I struggled with finding the coordinates. The company website included a visual map of the mine, which I compared to a Google Map location search.",,,,
nuclear,front_waste,nickel_mining_w,4897.215556,0.010352646,"(69.42863380764027,30.778766263282996)",Severny Mine       ,"@misc{carmen_2022, title={World's ten largest nickel mines in 2021}, url={https://www.mining-technology.com/marketdata/ten-largest-nickels-mines-2021/}, journal={Mining Technology}, publisher={Verdict}, author={Carmen}, year={2022}, month={Jun}} 

@book{potanin_malyshev, journal={2021 ANNUAL REPORT MMC NORILSK NICKEL / NAVIGATING THE TRANSITION TO A NET ZERO WORLD}, author={Potanin, Vladimir and Malyshev, Sergey}, pages={1–208}} ","There was contradicting information, so I used the same website (mining-technology) that I've used before. I struggled finding information on a ""Kola MMC Mine"". I found the company website which lists their ore output, and the Zhdanovskoye deposit had the highest output. Thus, there are two references.
I struggled with finding the coordinates. The company website included a visual map of the mine, which I compared to a Google Map location search.",,,,
gas,oper_waste,NMHCs,140282.64,0.628,"(32.806025,-86.444892)",,,,,,,
gas,oper_waste,NOx,127326.6,0.57,"(32.806025,-86.444892)",,,,,,,
coal,oper_waste,NOx,559054.44,3.039,"(29.733056,-81.632778)",,,,,,,
gas,oper_need,oil (diesel),134028,0.6,"(28.9907,-98.0499)",Eagleville (Eagle Ford Shale),"@book{top 100 u.s. oil and gas fields_2015, place={Washington, DC}, journal={Top 100 U.S. Oil and Gas Fields}, institution={US Department of Energy}, year={2015}, pages={i-12}} ",Assumed that diesel oil is produced form petroleum (which is the most common feedstock),,,,
wind,back_waste,paint,1311.12,0.029934247,"(34.1292,-119.1689)",,,,,,,
wind,front_need,paint (epoxy zinc),1311.12,0.029934247,"(68.071989,-162.876044)",Red Dog Mine,"@misc{bureau of land management, title={Alaska Zinc Infographic}, url={https://www.blm.gov/alaska/public-room/fact-sheet/alaska-zinc-infographic}, journal={Bureau of Land Management}, publisher={US Department of the Interior}} ","Assumed Teknos paint systems, specifically the Teknos coating solutions for wind turbine towers. Refer to this website, https://www.coatingpaint.com/wind-turbine-coating/",,,,
gas,oper_waste,particulates,29709.54,0.133,"(39.134259,-120.953341)",,,,,,,
coal,oper_waste,particulates,24834.6,0.135,"(29.733056,-81.632778)",,,,,,,
solar,back_waste,plastic,6000,0.152207002,"(33.918151,-118.427648)",,,,,,,
solar,front_need,plastic,6000,0.152207002,"(39.28184198412667,-80.6943303709875)",MPLX Sherwood Gas Processing Complex,"@misc{galford_2019, title={North America's largest gas-processing facility expands operations in West Virginia}, url={https://dailyenergyinsider.com/news/19074-north-americas-largest-gas-processing-facility-expands-operations-in-west-virginia/}, journal={Daily Energy Insider}, author={Galford, Chris}, year={2019}, month={Apr}}","Asssumed plastic refers to polyethlylene. Assumed natural gas as the main feedstock. MPLX Sherwood Gas Processing Complex is considered US's largest gas processing facility, so the assumption is that the gas is delivered by trucks to the prcoessing plant","(28.952776,-95.326061)",Freeport Plant,"@misc{texas facility | history | dow corporate, title={Driving Dow’s Growth in Texas: The Making of Dow’s Largest Site}, url={https://corporate.dow.com/en-us/about/company/history/texas-facility.html#:~:text=Today%20Dow's%20Freeport%20site%20is,on%20the%20U.S.%20Gulf%20Coast.}, journal={Texas Facility | History | Dow Corporate}, publisher={Dow}} ",
solar,oper_need,polyamide,485,0.012303399,"(28.9907,-98.0499)",Eagleville (Eagle Ford Shale),"@book{top 100 u.s. oil and gas fields_2015, place={Washington, DC}, journal={Top 100 U.S. Oil and Gas Fields}, institution={US Department of Energy}, year={2015}, pages={i-12}} ","Assumed petroleum oil as the main ingredient. Found contradictory information: it's either Permian Basin or Eagleville. Thus, can assume that Eagleville is definitely one of the largest oil fields in the US. Wiki, which states that Permian Basin is the largest dates back to a 2011 article. I decided to go with an EIA report (2015) that declares Eagleville as the largest. ","(34.244991,-118.391327)",,,
solar,oper_waste,polyamide,485,0.012303399,,,,,"(37.876111,-120.605)",,,
solar,oper_need,polyester,300,0.00761035,"(28.9907,-98.0499)",Eagleville (Eagle Ford Shale),"@book{top 100 u.s. oil and gas fields_2015, place={Washington, DC}, journal={Top 100 U.S. Oil and Gas Fields}, institution={US Department of Energy}, year={2015}, pages={i-12}} ","Assumed petroleum oil as the main ingredient. Found contradictory information: it's either Permian Basin or Eagleville. Thus, can assume that Eagleville is definitely one of the largest oil fields in the US. Wiki, which states that Permian Basin is the largest dates back to a 2011 article. I decided to go with an EIA report (2015) that declares Eagleville as the largest. ","(34.244991,-118.391327)",,,
solar,oper_waste,polyester,300,0.00761035,,,,,"(34.126,-118.1494)",,,
wind,back_waste,polyethylene,329.4,0.007520548,,,,,"(33.8504,-118.395)",,,
wind,front_need,polyethylene,329.4,0.007520548,"(39.28184198412667,-80.6943303709875)",MPLX Sherwood Gas Processing Complex,"@misc{galford_2019, title={North America's largest gas-processing facility expands operations in West Virginia}, url={https://dailyenergyinsider.com/news/19074-north-americas-largest-gas-processing-facility-expands-operations-in-west-virginia/}, journal={Daily Energy Insider}, author={Galford, Chris}, year={2019}, month={Apr}}","MPLX Sherwood Gas Processing Complex is considered US's largest gas processing facility, so the assumption is that the gas is delivered by trucks to the prcoessing plant","(28.952776,-95.326061)",Freeport Plant,"@misc{texas facility | history | dow corporate, title={Driving Dow’s Growth in Texas: The Making of Dow’s Largest Site}, url={https://corporate.dow.com/en-us/about/company/history/texas-facility.html#:~:text=Today%20Dow's%20Freeport%20site%20is,on%20the%20U.S.%20Gulf%20Coast.}, journal={Texas Facility | History | Dow Corporate}, publisher={Dow}} ",
solar,oper_need,polyethylene,150,0.003805175,"(39.28184198412667,-80.6943303709875)",MPLX Sherwood Gas Processing Complex,"@misc{galford_2019, title={North America's largest gas-processing facility expands operations in West Virginia}, url={https://dailyenergyinsider.com/news/19074-north-americas-largest-gas-processing-facility-expands-operations-in-west-virginia/}, journal={Daily Energy Insider}, author={Galford, Chris}, year={2019}, month={Apr}}","MPLX Sherwood Gas Processing Complex is considered US's largest gas processing facility, so the assumption is that the gas is delivered by trucks to the prcoessing plant",,,,
solar,oper_waste,polyethylene,150,0.003805175,"(34.126,-118.1494)",,,,,,,
wind,back_waste,polymer,5888,0.134429224,"(33.8504,-118.395)",,,,,,,
wind,front_need,polymer,5888,0.134429224,"(28.9907,-98.0499)",Eagleville (Eagle Ford Shale),"@book{top 100 u.s. oil and gas fields_2015, place={Washington, DC}, journal={Top 100 U.S. Oil and Gas Fields}, institution={US Department of Energy}, year={2015}, pages={i-12}} ","Found contradictory information: it's either Permian Basin or Eagleville. Thus, can assume that Eagleville is definitely one of the largest oil fields in the US. Wiki, which states that Permian Basin is the largest dates back to a 2011 article. I decided to go with an EIA report (2015) that declares Eagleville as the largest.",,,,
wind,back_waste,porcelain,104.98,0.002396804,"(33.8504,-118.395)",,,,,,,
wind,front_need,porcelain/Ceramic coating ((aluminum oxide),104.98,0.002396804,"(31.0069,-88.0103)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ",,,,,
wind,back_waste,praseodymium,40,0.000913242,"(34.0818,-117.2418)",,,,,,,
wind,front_need,praseodymium,40,0.000913242,"(41.79583,109.96944)","(41.79583,109.96944)","@article{Fang_Zhou_Li_Zhou_Pan_He_2021, title={Response of antimony and arsenic in karst aquifers and groundwater geochemistry to the influence of mine activities at the world’s largest antimony mine, central China}, volume={603}, ISSN={0022-1694}, DOI={https://doi.org/10.1016/j.jhydrol.2021.127131}, abstractNote={The elevated levels of antimony (Sb) and arsenic (As) in groundwater caused by mine activities is of particular global concern. Understanding pollution mechanism of Sb and As related to mine activities and their influence on karst groundwater geochemistry is of great significance. However, it is still unclear. To address such questions, Sb and As and major ions, δ34S and δ18O of dissolved sulfate as well as δD and δ18O of water were analyzed for groundwater sampled from three main karst aquifers at the Xikuangshan (XKS) antimony mine from 2013 to 2017. Spatial and temporal variations of Sb and As of the three main karst aquifers were characterized as that, (1) Sb concentrations, rather than As, varied with aquifers, with high Sb (1–50 mg/L) of the D3s2 and C1y3 aquifers and low Sb (0.01–1.0 mg/L) of the D3x4 aquifer; (2) As concentrations had significant seasonal effect that was higher in winter and lower in summer, whereas Sb concentrations did not differ seasonally. Here we applied a recently developed cluster analysis method as well as geochemical indicators to identify pollution types of Sb and As in groundwater related to complex mine activities, and further to reveal main effects on karst groundwater geochemistry. The cluster analysis yielded a classification of four clusters, which was confirmed by principal component analysis. The groundwater of cluster 3 is of weakly alkaline HCO3-Ca type with low Sb (<0.015 mg/L) and low As (<0.005 mg/L), which is typical karst groundwater controlled by limestone dissolution. Whereas the other three clusters with high concentrations of Sb and As were identified to represent three pollution patterns dominated by oxidative dissolution of stibnite, leaching of mine wastes, and mixed pollution, respectively. Moreover, the effects of long-term mine activities on karst groundwater geochemistry are revealed, including: (1) Hydrogeochemical compositions of groundwater changed from HCO3-Ca type to SO4-Ca type. (2) Sulfuric acid significantly participated in carbonate weathering. (3) Weathering of silicate (main as silicified limestone) by H2CO3 and H2SO4 was accelerated. (4) Cation-exchange was enhanced to dominate groundwater geochemistry. Another striking finding is that sulfur and oxygen isotopes of sulfate can effectively distinguish sulfate sources related to mine activities and to trace Sb sources in karst groundwater.}, journal={Journal of Hydrology}, author={Fang, Ling and Zhou, Aiguo and Li, Xiaoqian and Zhou, Jianwei and Pan, Guofang and He, Ningjie}, year={2021}, pages={127131} }","Because Bayan Obo is the largest REE deposits and because the deposit includes praseodymium (even though praseodymium is not as one of the top REEs found at Bayan Obo), I assumed Bayan Obo as a deposit for praseodymium. Refer to Figure 3 of article.",,,,
wind,front_waste,praseodymium_mining_w,760,0.017351598,"(41.79583,109.96944)",Bayan Obo Mine,"@article{Fang_Zhou_Li_Zhou_Pan_He_2021, title={Response of antimony and arsenic in karst aquifers and groundwater geochemistry to the influence of mine activities at the world’s largest antimony mine, central China}, volume={603}, ISSN={0022-1694}, DOI={https://doi.org/10.1016/j.jhydrol.2021.127131}, abstractNote={The elevated levels of antimony (Sb) and arsenic (As) in groundwater caused by mine activities is of particular global concern. Understanding pollution mechanism of Sb and As related to mine activities and their influence on karst groundwater geochemistry is of great significance. However, it is still unclear. To address such questions, Sb and As and major ions, δ34S and δ18O of dissolved sulfate as well as δD and δ18O of water were analyzed for groundwater sampled from three main karst aquifers at the Xikuangshan (XKS) antimony mine from 2013 to 2017. Spatial and temporal variations of Sb and As of the three main karst aquifers were characterized as that, (1) Sb concentrations, rather than As, varied with aquifers, with high Sb (1–50 mg/L) of the D3s2 and C1y3 aquifers and low Sb (0.01–1.0 mg/L) of the D3x4 aquifer; (2) As concentrations had significant seasonal effect that was higher in winter and lower in summer, whereas Sb concentrations did not differ seasonally. Here we applied a recently developed cluster analysis method as well as geochemical indicators to identify pollution types of Sb and As in groundwater related to complex mine activities, and further to reveal main effects on karst groundwater geochemistry. The cluster analysis yielded a classification of four clusters, which was confirmed by principal component analysis. The groundwater of cluster 3 is of weakly alkaline HCO3-Ca type with low Sb (<0.015 mg/L) and low As (<0.005 mg/L), which is typical karst groundwater controlled by limestone dissolution. Whereas the other three clusters with high concentrations of Sb and As were identified to represent three pollution patterns dominated by oxidative dissolution of stibnite, leaching of mine wastes, and mixed pollution, respectively. Moreover, the effects of long-term mine activities on karst groundwater geochemistry are revealed, including: (1) Hydrogeochemical compositions of groundwater changed from HCO3-Ca type to SO4-Ca type. (2) Sulfuric acid significantly participated in carbonate weathering. (3) Weathering of silicate (main as silicified limestone) by H2CO3 and H2SO4 was accelerated. (4) Cation-exchange was enhanced to dominate groundwater geochemistry. Another striking finding is that sulfur and oxygen isotopes of sulfate can effectively distinguish sulfate sources related to mine activities and to trace Sb sources in karst groundwater.}, journal={Journal of Hydrology}, author={Fang, Ling and Zhou, Aiguo and Li, Xiaoqian and Zhou, Jianwei and Pan, Guofang and He, Ningjie}, year={2021}, pages={127131} }","Because Bayan Obo is the largest REE deposits and because the deposit includes praseodymium (even though praseodymium is not as one of the top REEs found at Bayan Obo), I assumed Bayan Obo as a deposit for praseodymium. Refer to Figure 3 of article.",,,,
coal,oper_waste,selenium,75.4236,0.00041,"(32.7214,-114.7106)",,,,,,,
solar,back_waste,silica,7000,0.177574835,"(33.764741,-118.09913)",,,,,,,
solar,front_need,silica,7000,0.177574835,"44.482054, 86.706787",XinJiang,https://www.bloomberg.com/graphics/2021-xinjiang-solar/,,,,,
solar,front_waste,silica_mining_w,363000,9.208523592,"44.482054, 86.706787",XinJiang,https://www.bloomberg.com/graphics/2021-xinjiang-solar/,,,,,
nuclear,back_waste,silver,3.12,0.0000066,"(41.828814,-74.131877)",,,,,,,
nuclear,front_need,silver,3.12,0.0000066,"(51.472777777778 ,16.040277777778)",Polkowice-Sieroszowice Mine,"@misc{prosstar_2022, title={What are the biggest silver mines in the world?}, url={https://abcdust.net/what-are-the-biggest-silver-mines-in-the-world/}, journal={ABCDust}, author={ProsStar, SEO}, year={2022}, month={Mar}} ",,,,,
nuclear,front_waste,silver_mining_w,52878.23593,0.111783858,"(51.472777777778 ,16.040277777778)",Polkowice-Sieroszowice Mine,"@misc{prosstar_2022, title={What are the biggest silver mines in the world?}, url={https://abcdust.net/what-are-the-biggest-silver-mines-in-the-world/}, journal={ABCDust}, author={ProsStar, SEO}, year={2022}, month={Mar}} ",,,,,
gas,oper_waste,SOx,72375.12,0.324,"(32.6017,-87.7811)",,,,,,,
coal,oper_waste,SOx,1177344,6.4,"(33.371506,-80.113235)",,,,,,,
wind,back_waste,terbium,5,0.000114155,"(34.0818,-117.2418)",,,,,,,
wind,front_need,terbium,5,0.000114155,"(24.839019,114.836978)",Foot Cave," @article{Wang_Xu_Yan_Zhang_2021, title={New Insights into Ion Adsorption Type Rare-Earths Mining—Bacterial Adsorption of Yttrium Integrated with Ammonia Nitrogen Removal by a Fungus}, volume={13}, ISSN={2071-1050}, url={https://www.mdpi.com/2071-1050/13/16/9460}, DOI={10.3390/su13169460}, abstractNote={Ion adsorption-type heavy rare earths found in southern China are important ore resources, whose yttrium(Y)-group rare-earth elements account for 90% of the total mass of rare earths known on the planet. At present, ammonia-nitrogen wastewater from extraction of rare earths pose threats to the environment. A bacterial strain (Bacillus sp. ZD 1) isolated from the “Foot Cave” mining area was used for adsorption of Y3+. Its adsorption capacity reached 428 μmol/g when the initial concentration of Y3+ was 1.13 mM. Moreover, 50 mg of Bacillus sp. ZD 1 (converted to dry mass) could completely adsorb Y3+ in the mother solution of mixed rare earths from the rare-earth mining area. Ammonia nitrogen in the remaining solution after adsorption was removed through denitrification using a fungus named Galactomyces sp. ZD 27. The final concentration of ammonia nitrogen in wastewater was lower than Indirect Emission Standard of Pollutants for Rare-earth Industry (GB 26451-2011). Furthermore, the resulting fungal cells of Galactomyces sp. ZD 27 could be used to produce single cell proteins, whose content accounted for 70.75% of the dry mass of cells. This study offers a new idea for integrated environmentally-friendly extraction and ecological restoration of the mining area in southern China.}, number={16}, journal={Sustainability}, author={Wang, Weiying and Xu, Yanqiong and Yan, Riming and Zhang, Zhibin}, year={2021} }
","Two Sources: First source mentions that terbium is concentrated in ion-absorpotion clays. Second source locates ""Foot Cave"" as the largest site",,,,
wind,front_waste,terbium_mining_w,95,0.00216895,"(24.839019,114.836978)",Foot Cave," @article{Wang_Xu_Yan_Zhang_2021, title={New Insights into Ion Adsorption Type Rare-Earths Mining—Bacterial Adsorption of Yttrium Integrated with Ammonia Nitrogen Removal by a Fungus}, volume={13}, ISSN={2071-1050}, url={https://www.mdpi.com/2071-1050/13/16/9460}, DOI={10.3390/su13169460}, abstractNote={Ion adsorption-type heavy rare earths found in southern China are important ore resources, whose yttrium(Y)-group rare-earth elements account for 90% of the total mass of rare earths known on the planet. At present, ammonia-nitrogen wastewater from extraction of rare earths pose threats to the environment. A bacterial strain (Bacillus sp. ZD 1) isolated from the “Foot Cave” mining area was used for adsorption of Y3+. Its adsorption capacity reached 428 μmol/g when the initial concentration of Y3+ was 1.13 mM. Moreover, 50 mg of Bacillus sp. ZD 1 (converted to dry mass) could completely adsorb Y3+ in the mother solution of mixed rare earths from the rare-earth mining area. Ammonia nitrogen in the remaining solution after adsorption was removed through denitrification using a fungus named Galactomyces sp. ZD 27. The final concentration of ammonia nitrogen in wastewater was lower than Indirect Emission Standard of Pollutants for Rare-earth Industry (GB 26451-2011). Furthermore, the resulting fungal cells of Galactomyces sp. ZD 27 could be used to produce single cell proteins, whose content accounted for 70.75% of the dry mass of cells. This study offers a new idea for integrated environmentally-friendly extraction and ecological restoration of the mining area in southern China.}, number={16}, journal={Sustainability}, author={Wang, Weiying and Xu, Yanqiong and Yan, Riming and Zhang, Zhibin}, year={2021} }
","Two Sources: First source mentions that terbium is concentrated in ion-absorpotion clays. Second source locates ""Foot Cave"" as the largest site",,,,
solar,back_waste,tin,463.1,0.011747844,"(37.477838,-120.444492)",,,,,,,
nuclear,back_waste,tin,1.64,0.00000347,"(36.8061,-107.6131)",,,,,,,
solar,front_need,tin,463.1,0.011747844,"23.312166, 103.093552",Gejiu,https://www.britannica.com/place/Gejiu,,,,,
nuclear,front_need,tin,1.64,0.00000347,"23.312166, 103.093552",Gejiu,https://www.britannica.com/place/Gejiu,,,,,
solar,front_waste,tin mining waste,463.1,0.011747844,"23.312166, 103.093552",Gejiu,https://www.britannica.com/place/Gejiu,,,,,
nuclear,front_waste,tin_mining_w,1.64,0.00000347,"23.312166, 103.093552",Gejiu,https://www.britannica.com/place/Gejiu,,,,,
nuclear,back_waste,titanium,0.01,2.11E-08,"(36.8061,-107.6131)",,,,,,,
nuclear,front_need,titanium,0.01,2.11E-08,"(58.33392,6.42122)",Tellnes Mine,"@misc{mindat.org, title={Tellnes Mines, Sokndal, Rogaland, Norway T}, url={https://zh.mindat.org/loc-18742.html}, journal={mindat.org}, publisher={mindat.org and the Hudson Institute of Mineralog}} ","Not confirmed that Tellnes is the largest titatnium deposit. The largest mine is either Lac Tio or Tellnes, but I can't determine Lac Tio's production amounts, so I assumed Tellnes. Note that Tellnes is ""one (of two) major hard-rock titanium deposits in production in the world”",,,,
nuclear,front_waste,titanium_mining_w,0.39,0.000000824,"(58.33392,6.42122)",Tellnes Mine,"@misc{mindat.org, title={Tellnes Mines, Sokndal, Rogaland, Norway T}, url={https://zh.mindat.org/loc-18742.html}, journal={mindat.org}, publisher={mindat.org and the Hudson Institute of Mineralog}} ","Not confirmed that Tellnes is the largest titatnium deposit. The largest mine is either Lac Tio or Tellnes, but I can't determine Lac Tio's production amounts, so I assumed Tellnes. Note that Tellnes is ""one (of two) major hard-rock titanium deposits in production in the world”",,,,
nuclear,oper_waste,uranium_mining_w,7127857.143,15.06819115,"(39.048802,-121.316966)",,,,,,,
coal,oper_waste,vanadium,16.18848,0.000088,"(32.252273,-110.992148)",,,,,,,
solar,oper_need,vegetable_oil,6001,0.152232369,"(-15.52977692635788,-56.0937620026863)",Bom Futuro Farm,"@misc{south dakota soybean, title={A visit to the largest soybean farm in the world}, url={https://www.sdsoybean.org/news-media/a-visit-to-the-largest-soybean-farm-in-the-world#:~:text=In%20Brazil%20we%20had%20the,555%2C000%20acres%20of%20just%20soybeans!}, journal={South Dakota Soybean}} ","According to this website, soybeans are the ""dominant biodiesel feedstock"" in the US. Many sources note that Illinois is the largest soybean producing state. Struggled to find largest soybean farm; assumed the oil is imported",,,,
solar,oper_waste,vegetable_oil,6001,0.152232369,"(34.126,-118.1494)",,,,,,,
coal,oper_waste,VOC,2943.36,0.016,"(29.733056,-81.632778)",,,,,,,
wind,back_waste,zinc,26.9824,0.000616037,"(33.7688,-118.1009)",,,,,,,
nuclear,back_waste,zinc,2.02,0.00000427,"(32.711611,-114.942666)",,,,,,,
wind,front_need,zinc,26.9824,0.000616037,"(68.071989,-162.876044)",Red Dog Mine,"@misc{bureau of land management, title={Alaska Zinc Infographic}, url={https://www.blm.gov/alaska/public-room/fact-sheet/alaska-zinc-infographic}, journal={Bureau of Land Management}, publisher={US Department of the Interior}} ",Also refer to this website for additional resource.,,,,
nuclear,front_need,zinc,2.02,0.00000427,"(68.071989,-162.876044)",Red Dog Mine,"@misc{bureau of land management, title={Alaska Zinc Infographic}, url={https://www.blm.gov/alaska/public-room/fact-sheet/alaska-zinc-infographic}, journal={Bureau of Land Management}, publisher={US Department of the Interior}} ",Also refer to this website for additional resource.,,,,
wind,front_waste,zinc_mining_w,872.4309333,0.019918514,"(68.071989,-162.876044)",Red Dog Mine,"@misc{bureau of land management, title={Alaska Zinc Infographic}, url={https://www.blm.gov/alaska/public-room/fact-sheet/alaska-zinc-infographic}, journal={Bureau of Land Management}, publisher={US Department of the Interior}} ",Also refer to this website for additional resource.,,,,
nuclear,front_waste,zinc_mining_w,478.932381,0.001012456,"(68.071989,-162.876044)",Red Dog Mine,"@misc{bureau of land management, title={Alaska Zinc Infographic}, url={https://www.blm.gov/alaska/public-room/fact-sheet/alaska-zinc-infographic}, journal={Bureau of Land Management}, publisher={US Department of the Interior}} ",Also refer to this website for additional resource.,,,,
nuclear,oper_need,zirconium,804.168,0.0017,"(-30.90926391474549,132.22041172635542)",Iluka's Jacinth-Ambrosia Mine,"@misc{earthtechnology.com, title={Adding value to the world's largest zircon mine}, url={https://earthtechnology.net/iluka-case-study}, journal={earthtechnology.com}, publisher={Earth Technology Pty Ltd}} ",Most zirconium comes from zircon. ,,,,
nuclear,oper_waste,zirconium,804.168,0.0017,"(38.850283,-120.381883)",,,,,,,
nuclear,oper_waste,zirconium_mining_w,80416.8,0.17,"(31.400255,-86.476449)",,,,,,,
